,importance
dropoff_longitude,267
pickup_latitude,253
pickup_longitude,251
dropoff_latitude,228
vendor_id_2,59
passenger_count,27
pickup_weekday,10
pickup_month,9
pickup_hour,6
pickup_day,0
pickup_min,0
store_and_fwd_flag_Y,0
